kingdom,year,n
Protozoa,1947,207
incertae sedis,2022,613
Protozoa,1999,5330
Protozoa,1995,320
Protozoa,1986,807
Protozoa,1993,252
Protozoa,1983,1149
Protozoa,1998,4674
Protozoa,1994,231
Protozoa,1890,263
Protozoa,1911,162
Protozoa,1909,86
Protozoa,1961,526
Protozoa,1996,234
Protozoa,1989,557
Plantae,1822,784
Plantae,1797,53
Protozoa,1887,143
incertae sedis,1906,589
Fungi,1867,195
Protozoa,1875,40
Fungi,1863,321
incertae sedis,1854,42
incertae sedis,1899,400
Bacteria,1919,58
incertae sedis,1901,596
Protozoa,1932,568
Fungi,1852,328
Protozoa,1886,82
Fungi,1838,78
incertae sedis,1907,614
Fungi,1854,148
Fungi,1861,87
Fungi,1847,112
Fungi,1837,28
Protozoa,1892,185
Protozoa,1881,29
Protozoa,1900,525
incertae sedis,1881,214
incertae sedis,1898,387
incertae sedis,1915,746
incertae sedis,1876,201
incertae sedis,1874,119
incertae sedis,1916,516
incertae sedis,1875,183
incertae sedis,1873,110
incertae sedis,1891,323
incertae sedis,1890,264
incertae sedis,1878,125
incertae sedis,1883,143
incertae sedis,1894,405
incertae sedis,1928,1135
incertae sedis,1886,177
incertae sedis,1904,520
incertae sedis,1943,574
incertae sedis,1850,101
incertae sedis,1872,87
incertae sedis,1846,11
incertae sedis,1884,201
incertae sedis,1861,21
incertae sedis,1852,41
incertae sedis,1870,18
incertae sedis,1847,12
incertae sedis,1871,57
incertae sedis,1859,49
incertae sedis,1851,37
incertae sedis,1868,30
incertae sedis,1857,12
incertae sedis,1853,90
incertae sedis,1830,7
incertae sedis,1817,3
incertae sedis,1869,73
incertae sedis,1877,108
incertae sedis,1832,2
incertae sedis,1831,3
incertae sedis,1858,25
incertae sedis,1841,18
incertae sedis,1828,1
incertae sedis,1842,24
incertae sedis,1887,156
incertae sedis,1848,13
incertae sedis,1849,23
incertae sedis,1837,5
incertae sedis,1826,1
incertae sedis,1824,2
incertae sedis,1905,672
Animalia,1700,326
Animalia,1814,11
Animalia,1810,15
Animalia,1828,75
Animalia,1817,105
Animalia,1836,115
Animalia,1811,3
Animalia,1807,43
Chromista,1885,228
Animalia,1820,296
Animalia,1825,23
Animalia,1829,70
Animalia,1822,45
incertae sedis,1864,70
Animalia,1794,33
Animalia,1791,10
Animalia,1738,1
Animalia,1809,56
Animalia,1826,27
Animalia,1812,20
Animalia,1816,38
Animalia,1821,49
Archaea,NA,7982
Viruses,1963,34
